Station Name,District,Main Basin,Sub River Basin,Last Updated,Current Water Level,Normal Threshold,Alert Threshold,Warning Threshold,Danger Threshold,Status
Ulu Batang Kayan,Kuching,Batang Kayan,Btg. Kayan,21/01/2022 16:45,7.45,6.0,13.0,14.0,15.0,Normal
Aman 5 Bridge,Kuching,Sungai Sarawak,Sg. Semadang,21/01/2022 09:45,31.54,31.2,37.4,37.58,38.0,Normal
Sungai Pedid,Kuching,Sungai Sarawak,Sg. Spora,21/01/2022 16:45,14.39,14.25,20.53,20.71,21.13,Normal
Kampung Git,Kuching,Sungai Sarawak,Sg. Sarawak Kiri,21/01/2022 16:45,5.41,4.55,12.1,12.6,13.1,Normal
Buan Bidi,Kuching,Sungai Sarawak,Sg. Sarawak Kanan,21/01/2022 16:45,11.34,11.24,16.2,16.8,17.8,Normal
Sungai Opar,Kuching,Sungai Sarawak,Sg. Opar,21/01/2022 16:45,11.65,12.0,15.83,16.01,16.43,Normal
RTB Bau,Kuching,Sungai Sarawak,Sg. Sarawak Kanan,21/01/2022 16:45,10.19,10.0,12.46,12.58,12.86,Normal
Bau Bridge,Kuching,Sungai Sarawak,Sg. Sarawak Kanan,21/01/2022 16:45,5.78,5.3,12.46,12.58,12.86,Normal
Buso,Kuching,Sungai Sarawak,Sg. Sarawak Kanan,21/01/2022 16:45,2.06,1.8,8.0,10.2,10.7,Normal
Siniawan,Kuching,Sungai Sarawak,Sg. Sarawak Kanan,21/01/2022 16:45,0.26,1.05,5.5,6.2,7.2,Normal
Batu Kitang Telemetry,Kuching,Sungai Sarawak,Sg. Sarawak Kiri,21/01/2022 16:45,1.95,1.85,3.0,4.5,5.0,Normal
Batu Kawa Bridge,Kuching,Sungai Sarawak,Sg. Sarawak,21/01/2022 16:45,-1.05,1.5,2.5,3.0,4.2,Normal
Central Park,Kuching,Sungai Sarawak,Sg. Maong,21/01/2022 16:45,0.02,0.51,3.86,4.0,4.24,Normal
Maong Tengah Kiri,Kuching,Sungai Sarawak,Sg. Maong,21/01/2022 16:45,-1.06,0.2,3.0,4.0,4.4,Normal
Kuala Maong,Kuching,Sungai Sarawak,Sg. Maong,21/01/2022 16:45,-1.4,0.25,2.0,2.24,2.8,Normal
Satok B,Kuching,Sungai Sarawak,Sg. Sibu,21/01/2022 16:45,-1.3,0.27,2.4,2.52,2.8,Normal
